source,slug,institution,news_partnership,story_count,corpus_file
The NewsHouse,the-newshouse,Syracuse University,0,381,publication_corpora/the-newshouse.txt
The Observer,the-observer,University of Illinois Springfield,0,10,publication_corpora/the-observer.txt
The Observer-NDSM,the-observer,"University of Notre Dame, Saint Mary's College, Holy Cross College",0,46,publication_corpora/the-observer.txt
The Observer-FU,the-observer,Fordham University,0,98,publication_corpora/the-observer.txt
The Observer-CWU,the-observer,Central Washington University,0,10,publication_corpora/the-observer.txt
The Observer-CWRU,the-observer,Case Western Reserve University,0,10,publication_corpora/the-observer.txt
The Daily Iowan,the-daily-iowan,University of Iowa,1,141,publication_corpora/the-daily-iowan.txt
The Seattle Medium,the-seattle-medium,DROP,,130,publication_corpora/the-seattle-medium.txt
Voice of OC,voice-of-oc,DROP,,124,publication_corpora/voice-of-oc.txt
Indiana Daily Student,indiana-daily-student,Indiana University-Bloomington,0,116,publication_corpora/indiana-daily-student.txt
Caplin News,caplin-news,Florida International University,1,113,publication_corpora/caplin-news.txt
Campus Times,campus-times,University of Rochester,0,10,publication_corpora/campus-times.txt
Campus Times-LV,campus-times,University of La Verne,0,100,publication_corpora/campus-times.txt
The Echo,the-echo,California Lutheran University,0,10,publication_corpora/the-echo.txt
The Echo News,the-echo,Taylor University,0,40,publication_corpora/the-echo.txt
The OC Echo,the-echo,Olivet College,0,20,publication_corpora/the-echo.txt
The Echo-PPSC,the-echo,Pikes Peak State College,0,10,publication_corpora/the-echo.txt
The Echo-SNU,the-echo,Southern Nazarene University,0,20,publication_corpora/the-echo.txt
The Echo-AU,the-echo,Augsburg University,0,10,publication_corpora/the-echo.txt
Daily Trojan,daily-trojan,University of Southern California,0,109,publication_corpora/daily-trojan.txt
The Daily Pennsylvanian,the-daily-pennsylvanian,University of Pennsylvania,0,107,publication_corpora/the-daily-pennsylvanian.txt
The State News,the-state-news,Michigan State University,0,105,publication_corpora/the-state-news.txt
Amplify Utah - The Story Room,amplify-utah-the-story-room,Multi,1,104,publication_corpora/amplify-utah-the-story-room.txt
The Cornell Daily Sun,the-cornell-daily-sun,Cornell University,0,104,publication_corpora/the-cornell-daily-sun.txt
The Dartmouth,the-dartmouth,Dartmouth College,0,101,publication_corpora/the-dartmouth.txt
The Herald,the-herald-2,Hobart William Smith Colleges,0,100,publication_corpora/the-herald-2.txt
The Temple News,the-temple-news,Temple University,0,100,publication_corpora/the-temple-news.txt
Cronkite News,cronkite-news,Arizona State University,1,92,publication_corpora/cronkite-news.txt
The Daily Gamecock,the-daily-gamecock,University of South Carolina,0,82,publication_corpora/the-daily-gamecock.txt
The Collegian,the-collegian,Tarrant County College District,1,10,publication_corpora/the-collegian.txt
The Collegian-AU,the-collegian,Ashland University,0,10,publication_corpora/the-collegian.txt
The Collegian-GCC,the-collegian,Greensboro College,0,10,publication_corpora/the-collegian.txt
The Collegian-BJ,the-collegian,Bob Jones University,0,10,publication_corpora/the-collegian.txt
The Collegian-TU,the-collegian,University of Tulsa,0,10,publication_corpora/the-collegian.txt
The Collegian-Delta,the-collegian,San Joaquin Delta College,0,10,publication_corpora/the-collegian.txt
The Collegian-SDSU,the-collegian,South Dakota State University,0,10,publication_corpora/the-collegian.txt
The Collegian-FS,the-collegian,California State University-Fresno,0,10,publication_corpora/the-collegian.txt
The Johns Hopkins News-Letter,the-johns-hopkins-news-letter,Johns Hopkins University,0,79,publication_corpora/the-johns-hopkins-news-letter.txt
Capitol News Illinois,capitol-news-illinois,DROP,,78,publication_corpora/capitol-news-illinois.txt
Wisconsin Watch,wisconsin-watch,University of Wisconsin-Madison,1,77,publication_corpora/wisconsin-watch.txt
Purple Media Network,purple-media-network,Northwestern State University of Louisiana,0,76,publication_corpora/purple-media-network.txt
The Independent Florida Alligator,the-independent-florida-alligator,University of Florida,0,74,publication_corpora/the-independent-florida-alligator.txt
Milwaukee Neighborhood News Service,milwaukee-neighborhood-news-service,Marquette University,0,73,publication_corpora/milwaukee-neighborhood-news-service.txt
Dordt Digital Collections,dordt-digital-collections,Dordt University,0,70,publication_corpora/dordt-digital-collections.txt
The Catalyst,the-catalyst,Colorado College,0,50,publication_corpora/the-catalyst.txt
The Catalyst-NCFC,the-catalyst,New College of Florida,0,6,publication_corpora/the-catalyst.txt
The Catalyst-OW,the-catalyst,SUNY College at Old Westbury,0,10,publication_corpora/the-catalyst.txt
The Globe,the-globe,Salt Lake Community College,0,64,publication_corpora/the-globe.txt
www.thedaonline.com - RSS Results of type article,www-thedaonline-com-rss-results-of-type-article,West Virginia University,1,64,publication_corpora/www-thedaonline-com-rss-results-of-type-article.txt
Grady Newsource,grady-newsource,University of Georgia,1,61,publication_corpora/grady-newsource.txt
Tampa Free Press,tampa-free-press,DROP,,60,publication_corpora/tampa-free-press.txt
The Daily Cardinal,the-daily-cardinal,University of Wisconsin-Madison,0,59,publication_corpora/the-daily-cardinal.txt
Carolina News and Reporter,carolina-news-and-reporter,University of South Carolina,0,58,publication_corpora/carolina-news-and-reporter.txt
